任务Id,是否手工完成,任务名称,任务内容,级别限制,年龄限制,阵营限制,性别限制,职业限制,婚姻限制,发放任务的NPC,任务类型,任务性质,发放任务对话,杀戮要求,搜寻要求,传送要求,完成时间限制,验收任务的NPC,任务完成之前对话内容,任务完成之后NPC答复,任务奖励经验值,任务奖励金钱,任务奖励物品id,是否可重复完成,任务前续,力量限制,智力限制,敏捷限制,绝对限制,任务入口,任务出口
140,n,伪装,杀死山谷潜伏者和山谷藏匿者，得到他们赖以隐身的长袍,49,,人类,,,,yandigu/yandizuoqi400,find,,这些藏匿者和潜伏者是我的心头大患，隐身长袍确实有研究价值，你去取来！,,隐身长袍:25,,,yandigu/yandizuoqi400,速去速回吧！,差强人意，这些给你当奖赏吧！,35000,15000,,,,0,0,0,0,null,null
141,n,守护,杀死山谷潜伏者、山谷藏匿者、炎帝精兵、炎帝步兵、山谷苦修者、炎帝追随者各25名,49,,人类,,,,yandigu/yandizuoqi400,kill,,守卫伏炎帝谷的重任就交给你了！快去吧！,山谷潜伏者:25|山谷藏匿者:25|炎帝精兵:25|炎帝步兵:25|山谷苦修者:25|炎帝追随者:25,,,,yandigu/yandizuoqi400,为了伏炎帝谷的和平！,很好！,35000,20000,,,,0,0,0,0,null,null
142,n,净土,杀死荒原野狮、焦灼骷髅、荒原银蟒、暗色幽灵各20名,45,,,,,,huangyuan/liulanghuolong400,kill,,我需要一片净土，杀了这些妖孽！,荒原野狮:20|荒原银蟒:20|焦灼骷髅:20|暗色幽灵:20,,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,干得不错！我们会铭记你的！,31000,8000,,,,0,0,0,0,null,null
143,n,良药,杀死荒原巨蜥得到巨蜥之尾15条，杀死荒原毒蝎得到毒蝎之牙15颗,45,,,,,,huangyuan/liulanghuolong400,find,,制作治病良药，需要巨蜥之尾和毒蝎之牙，去给我找来,,巨蜥之尾:15|毒蝎之牙:15,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,不错！,31000,9000,,,,0,0,0,0,null,null
144,n,驯服,杀死荒原野狮，取下它们受诅咒的项圈20个,45,,人类,,,,huangyuan/liulanghuofenghuang400,find,,这些狮子受诅咒之苦，杀了他们就是解救它们！,,受诅咒的项圈:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,干的很好！辛苦你了！,31000,10000,,,,0,0,0,0,null,null
145,n,灵鳞,杀死荒原银蟒，得到它们银色鳞片20片,45,,妖魔,,,,huangyuan/liulanghuofenghuang400,find,,银色鳞片？这正是我制作毒药的必需品，快去吧！,,银色鳞片:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,差强人意，这些给你当奖赏吧！,31000,10000,,,,0,0,0,0,null,null
146,n,虚无,杀死幽暗幻影、飘忽怨灵、路边乞者、扭曲死尸各20名,46,,,,,,huangyuan/liulanghuolong400,kill,,这些败类，我需要一片虚无的空间！杀了他们！,幽暗幻影:20|飘忽怨灵:20|路边乞者:20|扭曲死尸:20,,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,很好！,32000,11000,,,,0,0,0,0,null,null
147,n,修补材料,杀死焦灼骷髅，得到冥火头骨20颗,46,,,,,,huangyuan/liulanghuolong400,find,,冥火头骨是修补古堡的重要材料，快去给我拿来！,,冥火头骨:20,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,干的不错！,32000,12000,,,,0,0,0,0,null,null
148,n,瓷碗,杀死路边乞者，得到他们乞讨用的破瓷碗20个,46,,妖魔,,,,huangyuan/liulanghuofenghuang400,find,,那些路边乞者真是影响我的食欲，去杀了他们！拿那些破瓷碗来证明自己！,,破瓷碗:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,干的不错，这些给你当作报酬！,32000,13000,,,,0,0,0,0,null,null
149,n,助手,杀死扭曲死尸，得到腐坏的手臂20条,46,,人类,,,,huangyuan/liulanghuofenghuang400,find,,我要从腐坏的手臂上得到我需要的精华，你杀了扭曲死尸，给我拿来！,,腐坏的手臂:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,这些你拿着吧，继续努力！,32000,13000,,,,0,0,0,0,null,null
150,n,清除,杀死骷髅行者、清修独行者各20名,47,,,,,,huangyuan/liulanghuolong400,kill,,独行者和他们死后的骷髅行者让我很郁闷！杀了他们！,骷髅行者:20|清修独行者:20,,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,这些你拿着吧，继续努力！,33000,14000,,,,0,0,0,0,null,null
151,n,荒原地图,杀死荒原迷途者，抢夺他们手中的荒原地图20张,47,,,,,,huangyuan/liulanghuolong400,find,,那些迷途者拿着地图还能走丢，真是一群废物！你去杀了他们，把地图抢回来！,,荒原地图:20,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,随便给你点儿钱吧,33000,15000,,,,0,0,0,0,null,null
152,n,骷髅族记,杀死骷髅行者，得到骷髅指环20个,47,,人类,,,,huangyuan/liulanghuofenghuang400,find,,骷髅行者的指环是他们骷髅一族的标记，给我抢来，我要研究一下！,,骷髅指环:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,干的不错！,33000,16000,,,,0,0,0,0,null,null
153,n,独行秘诀,杀死清修独行者，得到破损的鞋料20件,47,,妖魔,,,,huangyuan/liulanghuofenghuang400,find,,清修独行者能独行的秘诀在于他们耐穿的鞋子，你杀了他们，抢来他们的鞋料！,,破损的鞋料:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,干的不错！,33000,16000,,,,0,0,0,0,null,null
154,n,逆我者亡,杀死镇间使者、邪恶乡民各20名,48,,,,,,huangyuan/liulanghuolong400,kill,,我发现镇间使者在邪恶乡民庇护下传送错误消息，你去杀了他们！,镇间使者:20|邪恶乡民:20,,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,为了伟大的伏羲，谢谢！,34000,17000,,,,0,0,0,0,null,null
155,n,独居者族记,杀死清修独居者，得到独居者的领结20条,48,,,,,,huangyuan/liulanghuolong400,find,,独居者一族的标记是他们有魔法的领结，杀了他们，夺过来！,,独居者领结:20,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,你真是个可用之才！,34000,18000,,,,0,0,0,0,null,null
156,n,使者徽记,杀死镇间使者，得到使者徽记20个,48,,妖魔,,,,huangyuan/liulanghuofenghuang400,find,,这些徽记不应该再属于他们了！,,使者徽记:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,干得不错！我们会铭记你的！,34000,19000,,,,0,0,0,0,null,null
157,n,守望者族记,杀死荒原守望者，得到守望者长剑20把,48,,人类,,,,huangyuan/liulanghuofenghuang400,find,,守望者不守望，开始有反叛的心思，杀了他们，取得他们的兵器！,,守望者长剑:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,干得不错！我们会铭记你的！,34000,19000,,,,0,0,0,0,null,null
158,n,背叛,杀死荒原巡逻者、苦修远行者、镇中守卫各20名,49,,,,,,huangyuan/liulanghuolong400,kill,,这些祸害，仗着远行者的智慧，巡逻者的布局，守卫的关系要造反？！杀无赦！,荒原巡逻者:20|苦修远行者:20|镇中守卫:20,,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,不错！,35000,20000,,,,0,0,0,0,null,null
159,n,苦衷,杀死镇中守卫，得到守卫长矛20把,49,,,,,,huangyuan/liulanghuolong400,find,,不要听信守卫所谓的苦衷，杀死他们！抢回长矛！,,守卫长矛:20,,,huangyuan/liulanghuolong400,为了这片土地！快去吧！,干的很好！辛苦你了！,35000,21000,,,,0,0,0,0,null,null
160,n,巡逻者铠甲,杀死荒原巡逻者，得到巡逻者铠甲20件,49,,妖魔,,,,huangyuan/liulanghuofenghuang400,find,,那些巡逻者不务正业，去杀了他们，抢夺铠甲！,,巡逻者铠甲:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,差强人意，这些给你当奖赏吧！,35000,22000,,,,0,0,0,0,null,null
161,n,消失的远行者,杀死苦修远行者，得到远行者长袍20件,49,,人类,,,,huangyuan/liulanghuofenghuang400,find,,所谓的远行者是为了苦修，其实是想造反，去杀了他们，抢来他们的魔法长袍！,,远行者长袍:20,,,huangyuan/liulanghuofenghuang400,为了这片土地！快去吧！,很好！,35000,22000,,,,0,0,0,0,null,null
162,n,虚空精魂,杀死虚空行者、虚空河妖、虚空水怪、虚空飘影各30名,48,,,,,,konglingshangu/shangushouling400,kill,,这些虚空里的祸害!杀死他们!,虚空行者:30|虚空河妖:30|虚空水怪:30|虚空飘影:30,,,,konglingshangu/shangushouling400,为了空灵山谷！,干的不错！继续努力！,36000,23000,,,,0,0,0,0,null,null
163,n,大河之魂,杀死灵魂河妖、灵魂水怪得到大河之魂20个,48,,,,,,konglingshangu/shangushouling400,find,,这些妖孽吸取了大河之魂，杀了他们！,,大河之魂:20,,,konglingshangu/shangushouling400,为了空灵山谷！,干的不错！继续努力！,36000,23000,,,,0,0,0,0,null,null
164,n,芳踪之战,杀死芳草小妖、空灵花妖，取得花之精华20颗,48,,,,,,konglingshangu/shangushouling400,find,,妖孽就是妖孽，靠自然精华幻化！杀了他们！找回精华！,,花之精华:20,,,konglingshangu/shangushouling400,为了空灵山谷！,干的不错！继续努力！,36000,23000,,,,0,0,0,0,null,null
165,n,触须,杀死潮湿虫，得到他们湿润的触须20根,48,,,,,,konglingshangu/shangushouling400,find,,那些恶心的虫子！杀了他们！不过触须可是制药宝贝！,,湿润的触须:20,,,konglingshangu/shangushouling400,为了空灵山谷！,干的不错！继续努力！,36000,23000,,,,0,0,0,0,null,null
166,n,守卫山谷,杀死谷间行者、山谷守卫、山谷精兵各30名,48,,,,,,konglingshangu/shangushouling400,kill,,杀了那些叛徒！,谷间行者:30|山谷守卫:30|山谷精兵:30,,,,konglingshangu/shangushouling400,为了空灵山谷！,干的不错！继续努力！,36000,23000,,,,0,0,0,0,null,null
167,n,送信,找到林地首领，和他谈一谈,48,,,,,,konglingshangu/shangushouling400,send,,去清水林地的清水村找林地首领，和他谈一谈，他也许有事找你！,,,,,qingshuilindi/lindishouling400,为了空灵山谷！,干的不错！继续努力！,36000,23000,,,166,0,0,0,0,null,null
168,n,枯木之战,杀死枯木守卫、枯木精兵、枯木猎手各30名,48,,,,,,qingshuilindi/lindishouling400,kill,,杀死那些叛徒！,枯木守卫:30|枯木精兵:30|枯木猎手:30,,,,qingshuilindi/lindishouling400,为了清水林地！,继续努力！,36000,23000,,,167,0,0,0,0,null,null
169,n,偷袭林场,杀死林场守卫、林场搬运工、林场农夫各30名,48,,,,,,qingshuilindi/lindishouling400,kill,,杀死林场的叛徒！,林场守卫:30|林场搬运工:30|林场农夫:30,,,,qingshuilindi/lindishouling400,为了清水林地！,继续努力！,36000,23000,,,167,0,0,0,0,null,null
170,n,水战,杀死云雾水妖、清水怪各30名,48,,,,,,qingshuilindi/lindishouling400,kill,,杀死水里那些怪物！,云雾水妖:30|清水怪:30,,,,qingshuilindi/lindishouling400,为了清水林地！,继续努力！,36000,23000,,,167,0,0,0,0,null,null
171,n,惩治,杀死岗哨卫兵，得到卫兵的眼睛20颗,48,,,,,,qingshuilindi/lindishouling400,find,,岗哨卫兵的眼睛很明亮，给我找几个研究研究！,,卫兵的眼睛:20,,,qingshuilindi/lindishouling400,为了清水林地！,继续努力！,36000,23000,,,167,0,0,0,0,null,null
172,n,灰色灵魂,杀死豺狼恶灵，得到灰色灵魂20颗,48,,,,,,qingshuilindi/lindishouling400,find,,豺狼恶灵那灰色灵魂是支持他们的中心，杀死他们，夺过来！,,灰色灵魂:20,,,qingshuilindi/lindishouling400,为了清水林地！,继续努力！,36000,23000,,,167,0,0,0,0,null,null
173,n,送信,找到峡谷领袖，和他谈一谈,48,,,,,,qingshuilindi/lindishouling400,send,,去夜光峡谷找峡谷领袖谈谈，他应该在披星镇。,,,,,yeguangxiagu/xiagulingxiu400,为了清水林地！,继续努力！,36000,23000,,,172,0,0,0,0,null,null
174,n,夜光之战,杀死峡谷守卫、峡谷精兵各30名,48,,,,,,yeguangxiagu/xiagulingxiu400,kill,,为了夜光峡谷的安宁，杀死那些捣乱的人！,峡谷守卫:30|峡谷精兵:30,,,,yeguangxiagu/xiagulingxiu400,为了夜光峡谷！,还敢挑战么？,36000,23000,,,173,0,0,0,0,null,null
175,n,夜光之战,杀死高地守卫、高地精兵、峡谷行者各30名,48,,,,,,yeguangxiagu/xiagulingxiu400,kill,,还有一些流窜到高地上，去杀了他们！,高地守卫:30|高地精兵:30|峡谷行者:30,,,,yeguangxiagu/xiagulingxiu400,为了夜光峡谷！,可造之才！,36000,23000,,,174,0,0,0,0,null,null
176,n,食物补给,杀死巨型蜘蛛，得到美味蜘蛛腿20条,48,,,,,,yeguangxiagu/xiagulingxiu400,find,,最近食物供给不足，去猎些巨型蜘蛛，得到他们美味的蜘蛛腿,,美味蜘蛛腿:20,,,yeguangxiagu/xiagulingxiu400,为了夜光峡谷！,可造之才！,36000,23000,,,173,0,0,0,0,null,null
177,n,锋利,杀死峡谷恶狼，得到雪白狼牙20颗,49,,,,,,yeguangxiagu/xiagulingxiu400,find,,峡谷恶狼那雪白的狼牙真是锋利啊！给我找些回来！,,雪白狼牙:20,,,yeguangxiagu/xiagulingxiu400,为了夜光峡谷！,可造之才！,37000,24000,,,173,0,0,0,0,null,null
178,n,灵魂之事,杀死焦灼白骨得到头骨20颗，杀死峡谷恶灵得到恶灵精髓20个,49,,,,,,yeguangxiagu/xiagulingxiu400,find,,那些焦灼白骨和峡谷恶灵身上的东西值得我们研究研究，你去找些回来吧！,,头骨:20|恶灵精髓:20,,,yeguangxiagu/xiagulingxiu400,为了夜光峡谷！,可造之才！,37000,24000,,,173,0,0,0,0,null,null
179,n,送信,去找沉寂领袖，和他谈一谈,49,,,,,,yeguangxiagu/xiagulingxiu400,send,,去沉寂沼泽找沉寂领袖，他会给你点儿任务的！,,,,,chenjizhaoze/chenjilingxiu400,为了夜光峡谷！,可造之才！,37000,24000,,,178,0,0,0,0,null,null
180,n,食尸村之战,杀死食尸村民、食尸猛兽各30名,49,,,,,,chenjizhaoze/chenjilingxiu400,kill,,清理那些恶心的人！,食尸村民:30|食尸猛兽:30,,,,chenjizhaoze/chenjilingxiu400,为了沉寂沼泽！,这些给你当酬劳！加油吧！,37000,24000,,,179,0,0,0,0,null,null
181,n,沉寂之战,杀死沉寂守卫、沉寂精兵、沉寂行者、沉寂农夫、沉默守卫各30名,49,,,,,,chenjizhaoze/chenjilingxiu400,kill,,杀了那些叛徒！,沉寂守卫:30|沉寂精兵:30|沉寂行者:30|沉寂农夫:30|沉默守卫:30,,,,chenjizhaoze/chenjilingxiu400,为了沉寂沼泽！,这些给你当酬劳！加油吧！,37000,24000,,,179,0,0,0,0,null,null
182,n,钥匙,杀死废墟守卫，得到废墟之匙20把,49,,,,,,chenjizhaoze/chenjilingxiu400,find,,去杀了废墟守卫，得到废墟之匙20把,,废墟之匙:20,,,chenjizhaoze/chenjilingxiu400,为了沉寂沼泽！,这些给你当酬劳！加油吧！,37000,24000,,,179,0,0,0,0,null,null
183,n,枯骨之用,杀死扭曲枯骨、焦灼枯骨、变形死尸，得到干枯锁骨20个,49,,,,,,chenjizhaoze/chenjilingxiu400,find,,那些破骨头中锁骨是可以用来炼药的，你去找来！,,锁骨:20,,,chenjizhaoze/chenjilingxiu400,为了沉寂沼泽！,这些给你当酬劳！加油吧！,37000,24000,,,179,0,0,0,0,null,null
184,n,灵,杀死沉寂幽灵、食尸亡灵，得到死灵30个,49,,,,,,chenjizhaoze/chenjilingxiu400,find,,杀死沉寂幽灵和食尸亡灵，它们的死灵是我修炼的必需品，快去找来吧！,,死灵:30,,,chenjizhaoze/chenjilingxiu400,为了沉寂沼泽！,这些给你当酬劳！加油吧！,37000,24000,,,179,0,0,0,0,null,null
185,n,送信,找到广袤园的流浪行者，和他谈一谈,49,,,,,,chenjizhaoze/chenjilingxiu400,send,,去广袤园找流浪行者谈谈，他应该在晴雨村里。,,,,,guangmaoyuan/liulangxingzhe400,为了沉寂沼泽！,这些给你当酬劳！加油吧！,37000,24000,,,184,0,0,0,0,null,null
186,n,晴雨之战,杀死晴雨水怪，得到水晶灵20颗,49,,,,,,guangmaoyuan/liulangxingzhe400,find,,那些晴雨水怪的水晶灵可以充沛我的家园，去找些过来吧！,,水晶灵:20,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
187,n,烈焰之战,杀死烈焰骷髅30名，烈焰巨鹰30只,49,,,,,,guangmaoyuan/liulangxingzhe400,kill,,杀死那些败类！,烈焰骷髅:30|烈焰巨鹰:30,,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
188,n,流火之战,杀死流火巨鹰、流火狂豹、流火河怪各30只,49,,,,,,guangmaoyuan/liulangxingzhe400,kill,,杀死那些败类！,流火巨鹰:30|流火狂豹:30|流火河怪:30,,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
189,n,雨林之战,杀死雨林守卫、森林猎手各30名，杀死雨林猛虎30头，杀死雨林巨蛇30条,49,,,,,,guangmaoyuan/liulangxingzhe400,kill,,杀死那些败类！,雨林守卫:30|森林猎手:30|雨林猛虎:30|雨林巨蛇:30,,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
190,n,仙露,杀死饮露精灵，得到仙露20瓶,49,,,,,,guangmaoyuan/liulangxingzhe400,find,,饮露精灵的仙露有助于我的修炼，给我找来吧！,,仙露:20,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
191,n,守卫村庄,杀死村庄守卫、村庄精兵各30名,49,,,,,,guangmaoyuan/liulangxingzhe400,kill,,杀死那些败类！,村庄守卫:30|村庄精兵:30,,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
192,n,魔魂,杀死雨林狂魔，得到魔魂20颗,49,,,,,,guangmaoyuan/liulangxingzhe400,find,,魔魂？非常好的材料！去找来！,,魔魂:20,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
193,n,雪白诱惑,杀死冰白银熊，得到银白熊鬃20条,49,,,,,,guangmaoyuan/liulangxingzhe400,find,,那些冰白银熊的银白熊鬃是很好的御寒物资，给我找点儿过来！,,银白熊鬃:20,,,guangmaoyuan/liulangxingzhe400,为了广袤园！,很不错啊！哈哈！太谢谢了！,37000,24000,,,185,0,0,0,0,null,null
194,n,展示能力,杀死平原秃鹫，流光平原狮，平原猛虎，平原黑豹，平原雪狼各30只,48,,,,,,liuguangpingyuan/liuguanglvzhe400,kill,,欢迎来到这里，先展示一下你的实力吧！,平原秃鹫:30|流光平原狮:30|平原猛虎:30|平原黑豹:30|平原雪狼:30,,,,liuguangpingyuan/liuguanglvzhe400,不许偷懒！,干的不错！,30000,19000,,,,0,0,0,0,null,null
195,n,第一次搜寻,杀死流光狼蛛，流光毒蛛得到蜘蛛毒囊20个，杀死流光巨蛇得到蛇毒囊20个,48,,,,,,liuguangpingyuan/liuguanglvzhe400,find,,毒素一直是我的最爱！,,蜘蛛毒囊:20|蛇毒囊:20,,,liuguangpingyuan/liuguanglvzhe400,不许偷懒！,干的不错！,31000,18000,,,194,0,0,0,0,null,null
196,n,第二次搜寻,杀死流光毒蝎得到坚硬的蝎壳20个，杀死金色甲虫得到金色甲壳20个,48,,,,,,liuguangpingyuan/liuguanglvzhe400,find,,我还要这些坚硬的东西，丰富我的药材库,,坚硬的蝎壳:20|金色甲壳:20,,,liuguangpingyuan/liuguanglvzhe400,不许偷懒！,干的不错！,32000,17000,,,195,0,0,0,0,null,null
197,n,再辛苦一次,杀死平原巨鹰、流光黑鹰得到雄鹰的眼睛20颗,48,,,,,,liuguangpingyuan/liuguanglvzhe400,find,,不错的材料！,,雄鹰的眼睛:20,,,liuguangpingyuan/liuguanglvzhe400,不许偷懒！,干的不错！,33000,16000,,,196,0,0,0,0,null,null
198,n,最后的需求,杀死流光飞蛾得到飞蛾翅膀30双，杀死平原青鸟得到青色羽毛20枚,48,,,,,,liuguangpingyuan/liuguanglvzhe400,find,,飞蛾翅膀和青色羽毛是我最钟爱的，怎么能不去找呢？,,飞蛾翅膀:30|青色羽毛:20,,,liuguangpingyuan/liuguanglvzhe400,不许偷懒！,干的不错！,34000,15000,,,197,0,0,0,0,null,null
199,n,新的发展,和静语智者谈谈,48,,,,,,liuguangpingyuan/liuguanglvzhe400,send,,谢谢你，我这里没有什么可以让你帮忙的了，你去找静语智者谈谈吧。他应该就在静语山庄的静语阁里。,,,,,jingyushanzhuang/jingyuzhizhe400,不许偷懒！,干的不错！,34000,15000,,,198,0,0,0,0,null,null
200,n,堕落分子,杀死静语守卫、静语护卫、静语精兵各30名,48,,,,,,jingyushanzhuang/jingyuzhizhe400,kill,,欢迎你，这些堕落的人们，消灭他们！,静语守卫:30|静语护卫:30|静语精兵:30,,,,jingyushanzhuang/jingyuzhizhe400,早去早回！,继续努力！,31000,18000,,,199,0,0,0,0,null,null
201,n,失窃！,杀死静语仆从、静语侍从、静语侍女，得到山庄宝玉30枚颗,48,,,,,,jingyushanzhuang/jingyuzhizhe400,find,,看看这些贪婪的仆从，干活还偷东西，你去给我找回来！,,山庄宝玉:30,,,jingyushanzhuang/jingyuzhizhe400,早去早回！,继续努力！,32000,17000,,,200,0,0,0,0,null,null
202,n,炼金术,杀死静语狼人得到狼人的心20颗，杀死静语水幽灵得到幽灵元神20个,48,,,,,,jingyushanzhuang/jingyuzhizhe400,find,,炼金？,,狼人的心:20|幽灵元神:20,,,jingyushanzhuang/jingyuzhizhe400,早去早回！,继续努力！,33000,16000,,,201,0,0,0,0,null,null
203,n,碧水之旅,和碧水仙妖谈谈,48,,,,,,jingyushanzhuang/jingyuzhizhe400,send,,好吧，你去找碧水仙妖谈谈吧。她在碧水潭。,,,,,bishuitan/bishuixianyao400,早去早回！,继续努力！,34000,15000,,,202,0,0,0,0,null,null
204,n,捍卫,杀死碧水守卫、碧水护卫、碧水精兵各30名,48,,,,,,bishuitan/bishuixianyao400,kill,,为了碧水潭，杀了这些叛徒！,碧水护卫:30|碧水精兵:30|碧水守卫:30,,,,bishuitan/bishuixianyao400,为了碧水潭！,这些给你做酬劳！,34000,15000,,,203,0,0,0,0,null,null
205,n,鱼鳍的妙用,杀死碧水狂鱼、碧水鱼人得到碧水鱼鳍20个,48,,,,,,bishuitan/bishuixianyao400,find,,鱼鳍汤很美味的！~~,,碧水鱼鳍:20,,,bishuitan/bishuixianyao400,为了碧水潭！,这些给你做酬劳！,31000,18000,,,204,0,0,0,0,null,null
206,n,破损的工具,杀死碧水行者、碧水猎人、碧水农夫得到破损的工具20个,48,,,,,,bishuitan/bishuixianyao400,find,,这些人抢走了我的工具，帮我找回来！,,破损的工具:20,,,bishuitan/bishuixianyao400,为了碧水潭！,这些给你做酬劳！,32000,17000,,,205,0,0,0,0,null,null
207,n,魂,杀死碧水长者得到碧水精魂15个,48,,,,,,bishuitan/bishuixianyao400,find,,找到碧水精魂，支持我虚弱的身体。。。,,碧水精魂:15,,,bishuitan/bishuixianyao400,为了碧水潭！,这些给你做酬劳！,33000,16000,,,206,0,0,0,0,null,null
208,n,探索墓地,和死谷墓地的墓地守卫谈谈,48,,,,,,bishuitan/bishuixianyao400,send,,谢谢你，现在你去死谷墓地吧，找墓地守卫谈谈。他会给你一些活计的。,,,,,sigumudi/mudishouwei400,为了碧水潭！,这些给你做酬劳！,30000,15000,,,207,0,0,0,0,null,null
209,n,清理墓地,杀死堕落难民、墓地行者各30名,48,,,,,,sigumudi/mudishouwei400,kill,,杀了这些活人，清理墓地！,堕落难民:30|墓地行者:30,,,,sigumudi/mudishouwei400,为了死谷墓地！,很好！继续努力！,30000,19000,,,208,0,0,0,0,null,null
210,n,收集徽记,杀死墓地精兵、墓地卫兵得到墓地徽记20枚，杀死骷髅士兵、骷髅卫士得到骷髅徽记20枚，杀死灵魂战士、灵魂守卫得到灵魂徽记20枚,48,,,,,,sigumudi/mudishouwei400,find,,这些徽记有些玄机，你去找来给我吧！,,墓地徽记:20|骷髅徽记:20|灵魂徽记:20,,,sigumudi/mudishouwei400,为了死谷墓地！,很好！继续努力！,31000,18000,,,209,0,0,0,0,null,null
211,n,风笛,杀死飘摇风女、呼啸恶灵得到风笛20个,48,,,,,,sigumudi/mudishouwei400,find,,那些死鬼偷了我的风笛，给我找回来吧。寻着风声就能找到。,,风笛:20,,,sigumudi/mudishouwei400,为了死谷墓地！,很好！继续努力！,32000,17000,,,210,0,0,0,0,null,null
212,n,扰乱者,杀死长发水鬼得到水鬼的头发20缕，杀死凄苦怨灵得到怨灵的眼泪20滴，杀死流浪魂魄得到魂魄的眼睛20个,48,,,,,,sigumudi/mudishouwei400,find,,据说水鬼的头发、怨灵的眼泪和魂魄的眼睛可以制出仙药，你去给我找些回来。,,水鬼的头发:20|怨灵的眼泪:20|魂魄的眼睛:20,,,sigumudi/mudishouwei400,为了死谷墓地！,很好！继续努力！,33000,16000,,,211,0,0,0,0,null,null
213,n,徽记？,杀死冥火骷髅得到冥火徽记20枚，杀死鬼火尸体得到鬼火徽记20枚,48,,,,,,sigumudi/mudishouwei400,find,,还有两种徽记呢？快去找到吧！,,冥火徽记:20|鬼火徽记:20,,,sigumudi/mudishouwei400,为了死谷墓地！,很好！继续努力！,34000,15000,,,212,0,0,0,0,null,null
214,n,火焰精华,杀死蓝林鬼火得到火焰精华20颗,48,,,,,,sigumudi/mudishouwei400,find,,我的药剂就要成功了，现在缺少火焰精华，你找些给我吧。,,火焰精华:20,,,sigumudi/mudishouwei400,为了死谷墓地！,很好！继续努力！,34000,15000,,,213,0,0,0,0,null,null
215,n,洞穴之行,和黑幕灵女谈谈,48,,,,,,sigumudi/mudishouwei400,send,,我没什么事情可以安排给你了，你去找黑幕灵女谈谈吧。,,,,,langhaodongxue/heimulingnv400,为了死谷墓地！,很好！继续努力！,30000,19000,,,214,0,0,0,0,null,null
216,n,杀,杀死黑幕狼蛛、黑幕灰豹30只,48,,,,,,langhaodongxue/heimulingnv400,kill,,杀了那些畜生！,黑幕狼蛛:30|黑幕灰豹:30,,,,langhaodongxue/heimulingnv400,不要说我残忍哦！~快去吧~~,真是太谢谢你了！继续努力！,34000,15000,,,215,0,0,0,0,null,null
217,n,炼丹术,杀死黑幕巨猩猩、黑幕大猩猩、黑幕猩猩得到猩猩牙20颗,48,,,,,,langhaodongxue/heimulingnv400,find,,炼丹炼丹，我要猩猩牙给我炼丹！,,猩猩牙:20,,,langhaodongxue/heimulingnv400,不要说我残忍哦！~快去吧~~,真是太谢谢你了！继续努力！,31000,18000,,,216,0,0,0,0,null,null
218,n,凝炼术,杀死黑幕水蛙、黑幕巨蛙得到皮肤粘液20瓶,48,,,,,,langhaodongxue/heimulingnv400,find,,炼毒炼毒，我要皮肤粘液给我做毒药溶剂！,,皮肤粘液:20,,,langhaodongxue/heimulingnv400,不要说我残忍哦！~快去吧~~,真是太谢谢你了！继续努力！,32000,17000,,,216,0,0,0,0,null,null
219,n,炼丹术,杀死凶恶雪狼、黑幕豺狼得到狼之鬃毛20缕,48,,,,,,langhaodongxue/heimulingnv400,find,,炼丹炼丹，我要鬃毛做引子！,,狼之鬃毛:20,,,langhaodongxue/heimulingnv400,不要说我残忍哦！~快去吧~~,真是太谢谢你了！继续努力！,33000,16000,,,217,0,0,0,0,null,null
